Offset-Description                                                                   
0000 - Byte              299D8479D00 : 136             29A17332A40 : 136             
0CB4 - Float             299D847A9B4 : 0               29A173336F4 : 0.7470588088    
0CB8 - Float             299D847A9B8 : 0               29A173336F8 : 0.7470588088    
0CBC - Float             299D847A9BC : 0               29A173336FC : 0.7470588088    
0CC0 - 4 Bytes           299D847A9C0 : 3852023824      29A17333700 : 1061109567      
0CC4 - 4 Bytes           299D847A9C4 : 665             29A17333704 : 1061109567      
0CC8 - 4 Bytes           299D847A9C8 : 3852023808      29A17333708 : 1061109567      
0CCC - 4 Bytes           299D847A9CC : 665             29A1733370C : 1061109567      
0CD0 - 4 Bytes           299D847A9D0 : 0               29A17333710 : 1061109567      
0CD4 - 4 Bytes           299D847A9D4 : 0               29A17333714 : 1061109567      
0CD8 - Pointer           299D847A9D8 : P->00000000     29A17333718 : P->3F3F3F3F3F3F3F3F
0CE0 - 4 Bytes           299D847A9E0 : 0               29A17333720 : 1061109567      
0CE4 - 4 Bytes           299D847A9E4 : 0               29A17333724 : 1061109567      
0CE8 - 4 Bytes           299D847A9E8 : 0               29A17333728 : 1061109567      
0CEC - Double            299D847A9EC : 0               29A1733372C : 0.000476792279411765
0CF4 - Float             299D847A9F4 : 0               29A17333734 : 0.7470588088    
0CF8 - 4 Bytes (Hex)     299D847A9F8 : 00000000        29A17333738 : 3F3F3F3F        
0CFC - 4 Bytes           299D847A9FC : 0               29A1733373C : 1061109567      
0D00 - 4 Bytes           299D847AA00 : 3522555088      29A17333740 : 1061109567      
0D04 - 4 Bytes           299D847AA04 : 665             29A17333744 : 1061109567      
0D08 - 4 Bytes           299D847AA08 : 1               29A17333748 : 1061109567      
0D0C - 4 Bytes           299D847AA0C : 0               29A1733374C : 1061109567      
0D10 - 4 Bytes           299D847AA10 : 0               29A17333750 : 1061109567      
0D14 - 4 Bytes           299D847AA14 : 0               29A17333754 : 1061109567      
0D18 - 4 Bytes           299D847AA18 : 0               29A17333758 : 1061109567      
0D1C - 4 Bytes           299D847AA1C : 0               29A1733375C : 1061109567      
0D20 - 4 Bytes           299D847AA20 : 1065353216      29A17333760 : 1061109567      
0D24 - Double            299D847AA24 : 0.0078125018480929A17333764 : 0.000476792279411765
0D2C - Float             299D847AA2C : 1               29A1733376C : 0.7470588088    
0D30 - Float             299D847AA30 : 0               29A17333770 : 0.7470588088    
0D34 - Float             299D847AA34 : 0               29A17333774 : 0.7470588088    
0D38 - 4 Bytes           299D847AA38 : 0               29A17333778 : 1061109567      
0D3C - 4 Bytes           299D847AA3C : 0               29A1733377C : 1061109567      
0D40 - 4 Bytes           299D847AA40 : 0               29A17333780 : 1061109567      
0D44 - 4 Bytes           299D847AA44 : 0               29A17333784 : 1061109567      
0D48 - 4 Bytes           299D847AA48 : 1               29A17333788 : 87              
0D4C - 4 Bytes           299D847AA4C : 0               29A1733378C : 84              
0D50 - 4 Bytes           299D847AA50 : 0               29A17333790 : 88              
0D54 - 4 Bytes           299D847AA54 : 0               29A17333794 : 89              
0D58 - Pointer           299D847AA58 : P->00000000     29A17333798 : P->5A0000005A   
0D60 - Pointer           299D847AA60 : P->00000000     29A173337A0 : P->580000005B   
0D68 - 4 Bytes           299D847AA68 : 4173197328      29A173337A8 : 92              
0D6C - 4 Bytes           299D847AA6C : 665             29A173337AC : 93              
0D70 - 4 Bytes           299D847AA70 : 3               29A173337B0 : 94              
0D74 - 4 Bytes           299D847AA74 : 0               29A173337B4 : 94              
0D78 - 4 Bytes           299D847AA78 : 1               29A173337B8 : 95              
0D7C - 4 Bytes           299D847AA7C : 0               29A173337BC : 92              
0D80 - 4 Bytes           299D847AA80 : 749756120       29A173337C0 : 0               
0D84 - 4 Bytes           299D847AA84 : 32759           29A173337C4 : 0               
0D88 - 4 Bytes           299D847AA88 : 2               29A173337C8 : 0               
0D8C - 4 Bytes           299D847AA8C : 3               29A173337CC : 0               
0D90 - 4 Bytes           299D847AA90 : 749734592       29A173337D0 : 0               
0D94 - 4 Bytes           299D847AA94 : 32759           29A173337D4 : 0               
0D98 - 4 Bytes           299D847AA98 : 3628575376      29A173337D8 : 0               
0D9C - 4 Bytes           299D847AA9C : 665             29A173337DC : 0               
0DA0 - Byte              299D847AAA0 : 128             29A173337E0 : 0               
0DA1 - Byte              299D847AAA1 : 170             29A173337E1 : 0               
0DA2 - Byte              299D847AAA2 : 71              29A173337E2 : 0               
0DA3 - 2 Bytes           299D847AAA3 : 39384           29A173337E3 : 0               
0DA5 - Byte              299D847AAA5 : 2               29A173337E5 : 0               
0DA6 - Byte              299D847AAA6 : 0               29A173337E6 : 0               
0DA7 - Byte              299D847AAA7 : 0               29A173337E7 : 0               
0DA8 - 4 Bytes           299D847AAA8 : 768             29A173337E8 : 0               
0DAC - 4 Bytes           299D847AAAC : 0               29A173337EC : 0               
0DB0 - 4 Bytes           299D847AAB0 : 0               29A173337F0 : 0               
0DB4 - 4 Bytes           299D847AAB4 : 0               29A173337F4 : 0               
0DB8 - 4 Bytes           299D847AAB8 : 0               29A173337F8 : 0               
0DBC - 4 Bytes           299D847AABC : 1065353216      29A173337FC : 0               
0DC0 - Pointer           299D847AAC0 : P->00000000     29A17333800 : P->00000000     
0DC8 - 4 Bytes           299D847AAC8 : 1065353216      29A17333808 : 0               
0DCC - 4 Bytes (Hex)     299D847AACC : 00000000        29A1733380C : 00000000        
0DD0 - Pointer           299D847AAD0 : P->00000000     29A17333810 : P->00000000     
0DD8 - 4 Bytes (Hex)     299D847AAD8 : 00000000        29A17333818 : 00000000        
0DDC - 4 Bytes           299D847AADC : 1065353216      29A1733381C : 1               
0DE0 - Pointer           299D847AAE0 : P->00000000     29A17333820 : P->100000001    
0DE8 - Pointer           299D847AAE8 : P->3F800000     29A17333828 : P->100000001    
0DF0 - 4 Bytes           299D847AAF0 : 0               29A17333830 : 1               
0DF4 - 4 Bytes           299D847AAF4 : 0               29A17333834 : 1               
0DF8 - 4 Bytes           299D847AAF8 : 0               29A17333838 : 1               
0DFC - 4 Bytes           299D847AAFC : 0               29A1733383C : 1               
0E00 - Pointer           299D847AB00 : P->00000000     29A17333840 : P->100000001    
0E08 - Pointer           299D847AB08 : P->00000000     29A17333848 : P->100000001    
0E10 - 4 Bytes           299D847AB10 : 0               29A17333850 : 1               
0E14 - 4 Bytes           299D847AB14 : 0               29A17333854 : 1               
0E18 - 4 Bytes           299D847AB18 : 257             29A17333858 : 1               
0E1C - 4 Bytes           299D847AB1C : 0               29A1733385C : 1               
0E20 - 4 Bytes           299D847AB20 : 0               29A17333860 : 1               
0E24 - 4 Bytes           299D847AB24 : 0               29A17333864 : 1               
0E28 - 4 Bytes           299D847AB28 : 0               29A17333868 : 1               
0E2C - 4 Bytes           299D847AB2C : 0               29A1733386C : 1               
0E30 - 4 Bytes           299D847AB30 : 273             29A17333870 : 1               
0E34 - 4 Bytes           299D847AB34 : 0               29A17333874 : 1               
0E38 - 4 Bytes           299D847AB38 : 0               29A17333878 : 1               
0E3C - 4 Bytes           299D847AB3C : 0               29A1733387C : 1               
0E40 - 4 Bytes           299D847AB40 : 0               29A17333880 : 1               
0E44 - 4 Bytes           299D847AB44 : 0               29A17333884 : 1               
0E48 - 4 Bytes           299D847AB48 : 1065353216      29A17333888 : 1               
0E4C - 4 Bytes           299D847AB4C : 0               29A1733388C : 1               
0E50 - 4 Bytes           299D847AB50 : 0               29A17333890 : 1               
0E54 - Double            299D847AB54 : 0               29A17333894 : 2.12199579145934E-314
0E5C - Float             299D847AB5C : 0               29A1733389C : 1.401298464E-45 
0E60 - 4 Bytes           299D847AB60 : 0               29A173338A0 : 1               
0E64 - 4 Bytes           299D847AB64 : 0               29A173338A4 : 1               
0E68 - Double            299D847AB68 : 2.1219957909652729A173338A8 : 2.12199579145934E-314
0E70 - Float             299D847AB70 : 0               29A173338B0 : 1.401298464E-45 
0E74 - Double            299D847AB74 : 0               29A173338B4 : 2.12199579145934E-314
0E7C - 4 Bytes           299D847AB7C : 0               29A173338BC : 1               
0E80 - 4 Bytes           299D847AB80 : 1056964608      29A173338C0 : 1               
0E84 - 4 Bytes           299D847AB84 : 1056964608      29A173338C4 : 1               
0E88 - 4 Bytes           299D847AB88 : 1               29A173338C8 : 1               
0E8C - 4 Bytes           299D847AB8C : 0               29A173338CC : 1               
0E90 - 4 Bytes           299D847AB90 : 0               29A173338D0 : 1               
0E94 - 4 Bytes           299D847AB94 : 0               29A173338D4 : 1               
0E98 - Pointer           299D847AB98 : P->00000000     29A173338D8 : P->100000001    
0EA0 - Pointer           299D847ABA0 : P->00023487     29A173338E0 : P->100000001    
0EA8 - 4 Bytes           299D847ABA8 : 0               29A173338E8 : 1               
0EAC - 4 Bytes           299D847ABAC : 0               29A173338EC : 1               
0EB0 - 4 Bytes           299D847ABB0 : 0               29A173338F0 : 1               
0EB4 - 4 Bytes           299D847ABB4 : 0               29A173338F4 : 1               
0EB8 - 4 Bytes           299D847ABB8 : 0               29A173338F8 : 1               
0EBC - 4 Bytes           299D847ABBC : 0               29A173338FC : 1               
0EC0 - 4 Bytes           299D847ABC0 : 0               29A17333900 : 1               
0EC4 - 4 Bytes           299D847ABC4 : 0               29A17333904 : 1               
0EC8 - 4 Bytes           299D847ABC8 : 1               29A17333908 : 1               
0ECC - 4 Bytes           299D847ABCC : 0               29A1733390C : 1               
0ED0 - Pointer           299D847ABD0 : P->00000000     29A17333910 : P->100000001    
0ED8 - Float             299D847ABD8 : 0               29A17333918 : 1.401298464E-45 
0EDC - Float             299D847ABDC : 0               29A1733391C : 1.401298464E-45 
0EE0 - Float             299D847ABE0 : 0               29A17333920 : 1.401298464E-45 
0EE4 - Float             299D847ABE4 : 0               29A17333924 : 1.401298464E-45 
0EE8 - Float             299D847ABE8 : 0               29A17333928 : 1.401298464E-45 
0EEC - Float             299D847ABEC : 0               29A1733392C : 1.401298464E-45 
0EF0 - Float             299D847ABF0 : 0               29A17333930 : 1.401298464E-45 
0EF4 - Float             299D847ABF4 : 0               29A17333934 : 1.401298464E-45 
0EF8 - Float             299D847ABF8 : 0               29A17333938 : 1.401298464E-45 
0EFC - Float             299D847ABFC : 0               29A1733393C : 1.401298464E-45 
0F00 - 4 Bytes           299D847AC00 : 3852023824      29A17333940 : 1               
0F04 - 4 Bytes           299D847AC04 : 665             29A17333944 : 10485920        
0F08 - 4 Bytes           299D847AC08 : 3852023808      29A17333948 : 12517567        
0F0C - 4 Bytes           299D847AC0C : 665             29A1733394C : 12517567        
0F10 - 4 Bytes           299D847AC10 : 0               29A17333950 : 12517567        
0F14 - 4 Bytes           299D847AC14 : 0               29A17333954 : 12517567        
0F18 - Pointer           299D847AC18 : P->00000000     29A17333958 : P->7F007F007F007F
0F20 - 4 Bytes           299D847AC20 : 0               29A17333960 : 11075753        
0F24 - 4 Bytes           299D847AC24 : 0               29A17333964 : 11075753        
0F28 - 4 Bytes           299D847AC28 : 0               29A17333968 : 11075753        
0F2C - Double            299D847AC2C : 0               29A1733396C : 1.19638484167325E-304
0F34 - Float             299D847AC34 : 0               29A17333974 : 1.956125916E-38 
0F38 - 4 Bytes (Hex)     299D847AC38 : 00000000        29A17333978 : 008D008D        
0F3C - 4 Bytes           299D847AC3C : 0               29A1733397C : 9240717         
0F40 - 4 Bytes           299D847AC40 : 3855122640      29A17333980 : 7340144         
0F44 - 4 Bytes           299D847AC44 : 665             29A17333984 : 11075753        
0F48 - 4 Bytes           299D847AC48 : 1               29A17333988 : 7340144         
0F4C - 4 Bytes           299D847AC4C : 0               29A1733398C : 5308497         
0F50 - 4 Bytes           299D847AC50 : 0               29A17333990 : 10485920        
0F54 - 4 Bytes           299D847AC54 : 0               29A17333994 : 12517567        
0F58 - 4 Bytes           299D847AC58 : 0               29A17333998 : 10485920        
0F5C - 4 Bytes           299D847AC5C : 0               29A1733399C : 6029404         
0F60 - 4 Bytes           299D847AC60 : 1065353216      29A173339A0 : 13959381        
0F64 - Double            299D847AC64 : 0.0078125018480929A173339A4 : 2.56367187247948E-305
0F6C - Float             299D847AC6C : 1               29A173339AC : 1.294900254E-38 
0F70 - Float             299D847AC70 : 0               29A173339B0 : 1.028573252E-38 
0F74 - Float             299D847AC74 : 0               29A173339B4 : 1.294900254E-38 
0F78 - 4 Bytes           299D847AC78 : 0               29A173339B8 : 11075753        
0F7C - 4 Bytes           299D847AC7C : 0               29A173339BC : 11075753        
0F80 - 4 Bytes           299D847AC80 : 0               29A173339C0 : 13959381        
0F84 - 4 Bytes           299D847AC84 : 0               29A173339C4 : 9240717         
0F88 - 4 Bytes           299D847AC88 : 1               29A173339C8 : 6684774         
0F8C - 4 Bytes           299D847AC8C : 0               29A173339CC : 9240717         
0F90 - 4 Bytes           299D847AC90 : 0               29A173339D0 : 13959381        
0F94 - 4 Bytes           299D847AC94 : 0               29A173339D4 : 9240717         
0F98 - Pointer           299D847AC98 : P->00000000     29A173339D8 : P->8D008D00660066
0FA0 - Pointer           299D847ACA0 : P->00000000     29A173339E0 : P->A900A900A900A9
0FA8 - 4 Bytes           299D847ACA8 : 4173197232      29A173339E8 : 7340144         
0FAC - 4 Bytes           299D847ACAC : 665             29A173339EC : 7340144         
0FB0 - 4 Bytes           299D847ACB0 : 3               29A173339F0 : 7340144         
0FB4 - 4 Bytes           299D847ACB4 : 0               29A173339F4 : 7340144         
0FB8 - 4 Bytes           299D847ACB8 : 1               29A173339F8 : 11075753        
0FBC - 4 Bytes           299D847ACBC : 0               29A173339FC : 11075753        
0FC0 - 4 Bytes           299D847ACC0 : 749756120       29A17333A00 : 3809542720      
0FC4 - 4 Bytes           299D847ACC4 : 32759           29A17333A04 : 1               
0FC8 - 4 Bytes           299D847ACC8 : 2               29A17333A08 : 0               
0FCC - 4 Bytes           299D847ACCC : 3               29A17333A0C : 0               
0FD0 - 4 Bytes           299D847ACD0 : 749734592       29A17333A10 : 0               
0FD4 - 4 Bytes           299D847ACD4 : 32759           29A17333A14 : 0               
0FD8 - 4 Bytes           299D847ACD8 : 3628575952      29A17333A18 : 1               
0FDC - 4 Bytes           299D847ACDC : 665             29A17333A1C : 4               
0FE0 - Byte              299D847ACE0 : 192             29A17333A20 : 12              
0FE1 - Byte              299D847ACE1 : 172             29A17333A21 : 0               
0FE2 - Byte              299D847ACE2 : 71              29A17333A22 : 0               
0FE3 - 2 Bytes           299D847ACE3 : 39384           29A17333A23 : 256             
0FE5 - Byte              299D847ACE5 : 2               29A17333A25 : 0               
0FE6 - Byte              299D847ACE6 : 0               29A17333A26 : 0               
0FE7 - Byte              299D847ACE7 : 0               29A17333A27 : 0               
0FE8 - 4 Bytes           299D847ACE8 : 768             29A17333A28 : 3               
0FEC - 4 Bytes           299D847ACEC : 0               29A17333A2C : 6               
0FF0 - 4 Bytes           299D847ACF0 : 0               29A17333A30 : 2               
0FF4 - 4 Bytes           299D847ACF4 : 0               29A17333A34 : 0               
0FF8 - 4 Bytes           299D847ACF8 : 0               29A17333A38 : 0               
0FFC - 4 Bytes           299D847ACFC : 1065353216      29A17333A3C : 1               
